"Vars","Estimate","stdError","p"
"Intercept","62.782",20.668,"0.003 *"
"drivingMinus8","-2.429",3.806,"0.525"
"walkingMinus8","2.447",2.549,"0.339"
"transitMinus8","-2.59",5.835,"0.658"
"drivingMinus9","1.245",3.759,"0.741"
"walkingMinus9","-2.543",2.317,"0.275"
"transitMinus9","3.842",5.564,"0.491"
"anomalousWeekend","-15.416",42.785,"0.719"
"longWeekend","-24.889",27.145,"0.362"
"weekend","-74.383",19.794,"<0.001 *"
"casesTminus1","0.832",0.114,"<0.001 *"
"casesTminus2","0.108",0.119,"0.368"
"R2 Adjusted Training","0.939",NA,NA
"R2 Test","0.603",NA,NA
"RMSE Train","70.488",NA,NA
"RMSE Test","26.119",NA,NA
"RMSPE Train","1.495",NA,NA
"RMSPE Test","0.896",NA,NA
