"Vars","Estimate","stdError","p"
"Intercept","-0.447",18.52,"0.981"
"drivingMinus8","0.543",1.073,"0.614"
"walkingMinus8","0.709",0.566,"0.211"
"transitMinus8","-1.084",1.254,"0.388"
"drivingMinus9","-0.7",1.174,"0.552"
"walkingMinus9","-0.333",0.571,"0.56"
"transitMinus9","0.038",1.238,"0.976"
"anomalousWeekend","6.582",45.215,"0.884"
"longWeekend","-17.909",23.272,"0.442"
"weekend","-3.064",13.832,"0.825"
"casesTminus1","0.514",0.063,"<0.001 *"
"casesTminus2","0.32",0.065,"<0.001 *"
"R2 Adjusted Training","0.669",NA,NA
"R2 Test","0.669",NA,NA
"RMSE Train","79.818",NA,NA
"RMSE Test","347.929",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.255",NA,NA
