"Vars","Estimate","stdError","p"
"Intercept","10.827",5.623,"0.055"
"drivingMinus8","-0.42",0.302,"0.165"
"walkingMinus8","0.271",0.288,"0.348"
"transitMinus8","0.055",0.489,"0.91"
"drivingMinus9","0.258",0.277,"0.352"
"walkingMinus9","-0.35",0.249,"0.161"
"transitMinus9","0.258",0.456,"0.572"
"anomalousWeekend","-7.139",13.843,"0.607"
"longWeekend","-2.344",6.622,"0.724"
"weekend","-5.199",4.146,"0.211"
"casesTminus1","1.069",0.066,"<0.001 *"
"casesTminus2","-0.061",0.069,"0.38"
"R2 Adjusted Training","0.943",NA,NA
"R2 Test","0.69",NA,NA
"RMSE Train","24.963",NA,NA
"RMSE Test","141.939",NA,NA
"RMSPE Train","1.116",NA,NA
"RMSPE Test","0.145",NA,NA
