"Vars","Estimate","stdError","p"
"Intercept","5.493",3.164,"0.083"
"drivingMinus14","-0.222",0.119,"0.062"
"walkingMinus14","0.256",0.155,"0.099"
"transitMinus14","-0.049",0.08,"0.543"
"anomalousWeekend","2.503",7.569,"0.741"
"longWeekend","-2.664",4.18,"0.524"
"weekend","-6.705",2.044,"0.001 *"
"casesTminus1","-0.017",0.011,"0.121"
"casesTminus2","0.975",0.011,"<0.001 *"
"R2 Adjusted Training","0.957",NA,NA
"R2 Test","0.884",NA,NA
"RMSE Train","19.375",NA,NA
"RMSE Test","76.404",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
