"Vars","Estimate","stdError","p"
"Intercept","171.946",154.861,"0.268"
"drivingMinus14","8.378",8.191,"0.307"
"walkingMinus14","0.63",6.054,"0.917"
"transitMinus14","-9.161",4.015,"0.023 *"
"anomalousWeekend","-83.509",445.253,"0.851"
"longWeekend","77.276",218.827,"0.724"
"weekend","-215.472",113.471,"0.059"
"casesTminus1","0.141",0.064,"0.029 *"
"casesTminus2","0.163",0.064,"0.012 *"
"R2 Adjusted Training","0.229",NA,NA
"R2 Test","0.037",NA,NA
"RMSE Train","764.827",NA,NA
"RMSE Test","549.138",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.296",NA,NA
