"Vars","Estimate","stdError","p"
"Intercept","248.374",122.063,"0.043 *"
"drivingMinus14","-1.759",3.072,"0.568"
"walkingMinus14","1.381",6.826,"0.84"
"transitMinus14","2.092",5.37,"0.697"
"anomalousWeekend","-185.47",280.653,"0.509"
"longWeekend","-214.987",144.025,"0.137"
"weekend","-104.22",73.492,"0.157"
"casesTminus1","0.736",0.063,"<0.001 *"
"casesTminus2","0.239",0.065,"<0.001 *"
"R2 Adjusted Training","0.932",NA,NA
"R2 Test","0.625",NA,NA
"RMSE Train","497.361",NA,NA
"RMSE Test","639.891",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.194",NA,NA
