"Vars","Estimate","stdError","p"
"Intercept","9.892",19.092,"0.605"
"drivingMinus14","-1.213",0.681,"0.076"
"walkingMinus14","1.097",0.503,"0.03 *"
"transitMinus14","-0.061",0.429,"0.887"
"anomalousWeekend","14.566",51.363,"0.777"
"longWeekend","-16.355",26.98,"0.545"
"weekend","-35.006",14.071,"0.014 *"
"casesTminus1","0.58",0.061,"<0.001 *"
"casesTminus2","0.415",0.065,"<0.001 *"
"R2 Adjusted Training","0.835",NA,NA
"R2 Test","0.364",NA,NA
"RMSE Train","93.185",NA,NA
"RMSE Test","519.837",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.241",NA,NA
