"Vars","Estimate","stdError","p"
"Intercept","32.901",15.281,"0.032 *"
"drivingMinus14","1.319",0.98,"0.18"
"walkingMinus14","-0.769",0.696,"0.27"
"transitMinus14","-1.137",0.524,"0.031 *"
"anomalousWeekend","-28.295",44.001,"0.521"
"longWeekend","-14.921",23.514,"0.526"
"weekend","-9.252",12.497,"0.46"
"casesTminus1","0.458",0.064,"<0.001 *"
"casesTminus2","0.305",0.064,"<0.001 *"
"R2 Adjusted Training","0.656",NA,NA
"R2 Test","0.553",NA,NA
"RMSE Train","80.793",NA,NA
"RMSE Test","187.957",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.236",NA,NA
