"Vars","Estimate","stdError","p"
"Intercept","41.084",195.968,"0.834"
"drivingMinus14","27.891",13.658,"0.042 *"
"walkingMinus14","-9.866",9.562,"0.303"
"transitMinus14","-22.672",6.652,"0.001 *"
"anomalousWeekend","-49.777",545.49,"0.927"
"longWeekend","-257.342",285.997,"0.369"
"weekend","-290.052",160.86,"0.073"
"casesTminus1","0.147",0.064,"0.024 *"
"casesTminus2","0.149",0.064,"0.022 *"
"R2 Adjusted Training","0.244",NA,NA
"R2 Test","0.353",NA,NA
"RMSE Train","990.035",NA,NA
"RMSE Test","397.466",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.45",NA,NA
