"Vars","Estimate","stdError","p"
"Intercept","34.976",10.463,"0.001 *"
"drivingMinus14","1.335",0.646,"0.04 *"
"walkingMinus14","-0.329",0.321,"0.308"
"transitMinus14","-0.016",0.544,"0.976"
"anomalousWeekend","-35.578",41.05,"0.387"
"longWeekend","6.586",22.464,"0.77"
"weekend","-29.951",11.781,"0.012 *"
"casesTminus1","0.573",0.063,"<0.001 *"
"casesTminus2","0.201",0.062,"0.002 *"
"R2 Adjusted Training","0.771",NA,NA
"R2 Test","0.012",NA,NA
"RMSE Train","77.318",NA,NA
"RMSE Test","512.405",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
