"Vars","Estimate","stdError","p"
"Intercept","-6.185",33.799,"0.855"
"drivingMinus14","5.942",1.851,"0.002 *"
"walkingMinus14","-4.181",1.464,"0.005 *"
"transitMinus14","-2.065",0.889,"0.021 *"
"anomalousWeekend","-12.505",91.969,"0.892"
"longWeekend","-3.988",48.165,"0.934"
"weekend","-48.872",26.673,"0.068"
"casesTminus1","0.546",0.062,"<0.001 *"
"casesTminus2","0.325",0.061,"<0.001 *"
"R2 Adjusted Training","0.817",NA,NA
"R2 Test","0.014",NA,NA
"RMSE Train","167.835",NA,NA
"RMSE Test","168.597",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.257",NA,NA
