"Vars","Estimate","stdError","p"
"Intercept","51.555",7.969,"<0.001 *"
"drivingMinus14","-2.073",0.658,"0.002 *"
"walkingMinus14","0.649",0.597,"0.279"
"transitMinus14","-0.622",0.381,"0.106"
"R2 Adjusted Training","0.727",NA,NA
"R2 Test","0.147",NA,NA
"RMSE Train","35.574",NA,NA
"RMSE Test","56.01",NA,NA
"RMSPE Train","1.513",NA,NA
"RMSPE Test","10.978",NA,NA
