"Vars","Estimate","stdError","p"
"Intercept","10.742",8.936,"0.231"
"drivingMinus14","1.11",0.489,"0.024 *"
"walkingMinus14","-0.632",0.333,"0.059"
"transitMinus14","-0.516",0.246,"0.037 *"
"anomalousWeekend","-2.25",24.418,"0.927"
"longWeekend","11.809",12.849,"0.359"
"weekend","-24.866",7.137,"0.001 *"
"casesTminus1","0.404",0.057,"<0.001 *"
"casesTminus2","0.453",0.058,"<0.001 *"
"R2 Adjusted Training","0.721",NA,NA
"R2 Test","0.777",NA,NA
"RMSE Train","44.615",NA,NA
"RMSE Test","230.615",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.248",NA,NA
