"Vars","Estimate","stdError","p"
"Intercept","14.428",12.836,"0.262"
"drivingMinus14","0.522",0.317,"0.101"
"walkingMinus14","-0.224",0.284,"0.431"
"transitMinus14","-0.14",0.265,"0.598"
"anomalousWeekend","-4.884",28.891,"0.866"
"longWeekend","-10.216",14.863,"0.493"
"weekend","-23.633",7.757,"0.003 *"
"casesTminus1","0.475",0.059,"<0.001 *"
"casesTminus2","0.402",0.06,"<0.001 *"
"R2 Adjusted Training","0.749",NA,NA
"R2 Test","0.76",NA,NA
"RMSE Train","51.863",NA,NA
"RMSE Test","130.517",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.191",NA,NA
