"Vars","Estimate","stdError","p"
"Intercept","131.188",94.622,"0.167"
"drivingMinus14","-3.649",3.504,"0.299"
"walkingMinus14","3.395",3.064,"0.269"
"transitMinus14","-2.704",1.929,"0.162"
"anomalousWeekend","22.002",250.702,"0.93"
"longWeekend","26.946",131.247,"0.838"
"weekend","-292.895",68.679,"<0.001 *"
"casesTminus1","0.428",0.067,"<0.001 *"
"casesTminus2","0.437",0.069,"<0.001 *"
"R2 Adjusted Training","0.732",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","451.163",NA,NA
"RMSE Test","3040.378",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.313",NA,NA
