"Vars","Estimate","stdError","p"
"Intercept","24.995",11.257,"0.027 *"
"drivingMinus14","-0.759",0.317,"0.018 *"
"walkingMinus14","0.778",0.404,"0.055"
"transitMinus14","-0.203",0.293,"0.488"
"anomalousWeekend","-6",27.491,"0.827"
"longWeekend","10.135",12.723,"0.426"
"weekend","-36.197",7.273,"<0.001 *"
"casesTminus1","0.651",0.062,"<0.001 *"
"casesTminus2","0.259",0.063,"<0.001 *"
"R2 Adjusted Training","0.907",NA,NA
"R2 Test","0.327",NA,NA
"RMSE Train","48.916",NA,NA
"RMSE Test","38.057",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.132",NA,NA
