"Vars","Estimate","stdError","p"
"Intercept","12.131",24.686,"0.624"
"drivingMinus14","5.908",1.486,"<0.001 *"
"walkingMinus14","-2.622",1.037,"0.012 *"
"transitMinus14","-2.198",0.549,"<0.001 *"
"anomalousWeekend","0.864",62.34,"0.989"
"longWeekend","28.665",32.5,"0.379"
"weekend","-58.057",18.603,"0.002 *"
"casesTminus1","0.386",0.065,"<0.001 *"
"casesTminus2","0.006",0.065,"0.924"
"R2 Adjusted Training","0.504",NA,NA
"R2 Test","0.198",NA,NA
"RMSE Train","112.166",NA,NA
"RMSE Test","205.766",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","1.232",NA,NA
