"Vars","Estimate","stdError","p"
"Intercept","39.532",121.007,"0.744"
"drivingMinus14","-0.216",5.606,"0.969"
"walkingMinus14","2.852",4.982,"0.567"
"transitMinus14","-2.212",3.38,"0.514"
"anomalousWeekend","-27.892",291.987,"0.924"
"longWeekend","154.25",153.619,"0.316"
"weekend","-43.441",80.971,"0.592"
"casesTminus1","0.575",0.061,"<0.001 *"
"casesTminus2","0.366",0.061,"<0.001 *"
"R2 Adjusted Training","0.87",NA,NA
"R2 Test","0.022",NA,NA
"RMSE Train","530.492",NA,NA
"RMSE Test","814.788",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.464",NA,NA
