"Vars","Estimate","stdError","p"
"Intercept","26.888",13.233,"0.047 *"
"driving","-0.332",0.666,"0.62"
"walking","-0.08",0.423,"0.851"
"transit","0.269",0.516,"0.603"
"casesTminus1","0.311",0.125,"0.016 *"
"casesTminus2","0.396",0.13,"0.004 *"
"R2 Adjusted Training","0.67",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","14.561",NA,NA
"RMSE Test","25.809",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.566",NA,NA
