"Vars","Estimate","stdError","p"
"Intercept","-204.974",204.607,"0.321"
"driving","17.522",6.925,"0.014 *"
"walking","-5.139",2.663,"0.059"
"transit","-11.042",4.885,"0.028 *"
"casesTminus1","0.5",0.138,"0.001 *"
"casesTminus2","0.377",0.134,"0.007 *"
"R2 Adjusted Training","0.904",NA,NA
"R2 Test","0.045",NA,NA
"RMSE Train","537.324",NA,NA
"RMSE Test","831.92",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.42",NA,NA
