"Vars","Estimate","stdError","p"
"Intercept","136.051",31.079,"<0.001 *"
"driving","0.51",0.794,"0.524"
"walking","-0.651",0.575,"0.263"
"transit","-1.103",0.487,"0.028 *"
"casesTminus1","0.121",0.142,"0.4"
"casesTminus2","-0.088",0.165,"0.598"
"R2 Adjusted Training","0.579",NA,NA
"R2 Test","0.015",NA,NA
"RMSE Train","32.786",NA,NA
"RMSE Test","31.462",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.334",NA,NA
