"Vars","Estimate","stdError","p"
"Intercept","177.918",47.127,"<0.001 *"
"driving","-0.549",1.123,"0.627"
"walking","0.318",0.703,"0.653"
"transit","-1.352",0.727,"0.069"
"casesTminus1","0.029",0.158,"0.856"
"casesTminus2","-0.026",0.15,"0.861"
"R2 Adjusted Training","0.377",NA,NA
"R2 Test","0.083",NA,NA
"RMSE Train","42.275",NA,NA
"RMSE Test","75.628",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.363",NA,NA
