"Vars","Estimate","stdError","p"
"Intercept","55.576",16.102,"0.001 *"
"driving","-0.954",0.662,"0.155"
"walking","0.2",0.438,"0.649"
"transit","0.299",0.269,"0.271"
"casesTminus1","0.038",0.122,"0.755"
"casesTminus2","0.319",0.125,"0.013 *"
"R2 Adjusted Training","0.449",NA,NA
"R2 Test","0.013",NA,NA
"RMSE Train","14.243",NA,NA
"RMSE Test","11.12",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","2.886",NA,NA
