"Vars","Estimate","stdError","p"
"Intercept","915.493",238.969,"<0.001 *"
"driving","-23.771",12.093,"0.055"
"walking","10.478",11.804,"0.379"
"transit","4.585",6.034,"0.451"
"R2 Adjusted Training","0.219",NA,NA
"R2 Test","0.018",NA,NA
"RMSE Train","337.255",NA,NA
"RMSE Test","141.128",NA,NA
"RMSPE Train","29.18",NA,NA
"RMSPE Test","2.031",NA,NA
