"Vars","Estimate","stdError","p"
"Intercept","182.345",55.498,"0.002 *"
"driving","2.773",2.803,"0.327"
"walking","-1.173",1.001,"0.247"
"transit","-3.248",2.141,"0.136"
"casesTminus1","0.271",0.148,"0.073"
"casesTminus2","0.076",0.138,"0.582"
"R2 Adjusted Training","0.677",NA,NA
"R2 Test","0.062",NA,NA
"RMSE Train","92.289",NA,NA
"RMSE Test","66.37",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.299",NA,NA
