"Vars","Estimate","stdError","p"
"Intercept","46.563",37.15,"0.217"
"driving","1.209",1.177,"0.31"
"walking","-0.318",0.489,"0.519"
"transit","-1.754",1.085,"0.114"
"casesTminus1","0.182",0.156,"0.251"
"casesTminus2","0.073",0.182,"0.692"
"R2 Adjusted Training","0.365",NA,NA
"R2 Test","0.065",NA,NA
"RMSE Train","32.333",NA,NA
"RMSE Test","42.834",NA,NA
"RMSPE Train","2.49",NA,NA
"RMSPE Test","2.443",NA,NA
