"Vars","Estimate","stdError","p"
"Intercept","140.554",13.796,"<0.001 *"
"drivingMinus7","0.233",0.742,"0.754"
"walkingMinus7","-0.435",0.529,"0.415"
"transitMinus7","-1.117",0.358,"0.003 *"
"R2 Adjusted Training","0.581",NA,NA
"R2 Test","0",NA,NA
"RMSE Train","24.233",NA,NA
"RMSE Test","32.038",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.328",NA,NA
