"Vars","Estimate","stdError","p"
"Intercept","-61.066",73.266,"0.408"
"drivingMinus7","5.626",2.767,"0.046 *"
"walkingMinus7","-2.29",1.273,"0.077"
"transitMinus7","-2.376",2.423,"0.331"
"holidayWeekend","1.52",50.517,"0.976"
"casesTminus1","0.948",0.134,"<0.001 *"
"casesTminus2","-0.029",0.136,"0.83"
"R2 Adjusted Training","0.924",NA,NA
"R2 Test","0.694",NA,NA
"RMSE Train","83.54",NA,NA
"RMSE Test","64.44",NA,NA
"RMSPE Train","11.211",NA,NA
"RMSPE Test","0.996",NA,NA
