"Vars","Estimate","stdError","p"
"Intercept","127.864",44.593,"0.006 *"
"drivingMinus7","2.37",1.001,"0.021 *"
"walkingMinus7","0.99",0.629,"0.121"
"transitMinus7","-4.482",0.909,"<0.001 *"
"holidayWeekend","18.615",19.196,"0.336"
"casesTminus1","0.374",0.129,"0.005 *"
"casesTminus2","-0.174",0.123,"0.162"
"R2 Adjusted Training","0.877",NA,NA
"R2 Test","0.129",NA,NA
"RMSE Train","31.945",NA,NA
"RMSE Test","69.822",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.753",NA,NA
