"Vars","Estimate","stdError","p"
"Intercept","25.691",12.827,"0.05"
"drivingMinus7","-0.289",0.592,"0.627"
"walkingMinus7","-0.08",0.334,"0.812"
"transitMinus7","0.225",0.496,"0.651"
"casesTminus1","0.315",0.123,"0.013 *"
"casesTminus2","0.402",0.127,"0.003 *"
"R2 Adjusted Training","0.682",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","18.416",NA,NA
"RMSE Test","25.827",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.573",NA,NA
