"Vars","Estimate","stdError","p"
"Intercept","-4.784",18.855,"0.8"
"drivingMinus9","2.822",2.04,"0.169"
"walkingMinus9","0.497",1.32,"0.707"
"transitMinus9","-5.31",1.484,"<0.001 *"
"drivingMinus10","0.223",2.274,"0.922"
"walkingMinus10","-0.578",1.319,"0.662"
"transitMinus10","-1.978",1.476,"0.183"
"R2 Adjusted Training","0.611",NA,NA
"R2 Test","0.029",NA,NA
"RMSE Train","81.202",NA,NA
"RMSE Test","233.645",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.436",NA,NA
