"Vars","Estimate","stdError","p"
"Intercept","95.77",31.921,"0.003 *"
"drivingMinus9","-13.534",2.926,"<0.001 *"
"walkingMinus9","11.791",2.209,"<0.001 *"
"transitMinus9","-2.259",6.043,"0.709"
"drivingMinus10","13.028",2.841,"<0.001 *"
"walkingMinus10","-7.945",2.134,"<0.001 *"
"transitMinus10","-0.036",5.467,"0.995"
"anomalousWeekend","-35.453",73.132,"0.628"
"longWeekend","-8.698",38.897,"0.823"
"weekend","-81.398",20.999,"<0.001 *"
"casesTminus1","0.837",0.065,"<0.001 *"
"casesTminus2","0.121",0.065,"0.063"
"R2 Adjusted Training","0.937",NA,NA
"R2 Test","0.156",NA,NA
"RMSE Train","131.342",NA,NA
"RMSE Test","581.697",NA,NA
"RMSPE Train","2.006",NA,NA
"RMSPE Test","0.237",NA,NA
