"Vars","Estimate","stdError","p"
"Intercept","18.708",16.31,"0.253"
"drivingMinus9","-0.052",1.397,"0.97"
"walkingMinus9","0.411",0.85,"0.629"
"transitMinus9","-1.47",1.079,"0.174"
"drivingMinus10","1.302",1.567,"0.407"
"walkingMinus10","-1.096",0.884,"0.217"
"transitMinus10","-0.078",1.087,"0.943"
"anomalousWeekend","-2.648",45.177,"0.953"
"longWeekend","-9.724",23.571,"0.68"
"weekend","-11.261",12.647,"0.374"
"casesTminus1","0.446",0.063,"<0.001 *"
"casesTminus2","0.31",0.065,"<0.001 *"
"R2 Adjusted Training","0.663",NA,NA
"R2 Test","0.561",NA,NA
"RMSE Train","79.932",NA,NA
"RMSE Test","188.592",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.239",NA,NA
