"Vars","Estimate","stdError","p"
"Intercept","9.447",5.339,"0.078"
"drivingMinus9","0.227",0.28,"0.417"
"walkingMinus9","-0.396",0.288,"0.169"
"transitMinus9","-0.078",0.482,"0.872"
"drivingMinus10","-0.337",0.259,"0.195"
"walkingMinus10","0.139",0.25,"0.579"
"transitMinus10","0.537",0.452,"0.236"
"anomalousWeekend","-5.593",13.699,"0.683"
"longWeekend","-2.085",6.651,"0.754"
"weekend","-1.954",3.776,"0.605"
"casesTminus1","1.072",0.066,"<0.001 *"
"casesTminus2","-0.062",0.069,"0.365"
"R2 Adjusted Training","0.943",NA,NA
"R2 Test","0.652",NA,NA
"RMSE Train","24.924",NA,NA
"RMSE Test","146.914",NA,NA
"RMSPE Train","1.03",NA,NA
"RMSPE Test","0.151",NA,NA
