"Vars","Estimate","stdError","p"
"Intercept","52.926",23.13,"0.024 *"
"drivingMinus9","2.561",3.124,"0.414"
"walkingMinus9","-0.499",1.876,"0.791"
"transitMinus9","-1.715",1.23,"0.166"
"drivingMinus10","4.09",3.151,"0.197"
"walkingMinus10","-1.247",1.873,"0.507"
"transitMinus10","-2.204",1.216,"0.072"
"R2 Adjusted Training","0.423",NA,NA
"R2 Test","0.101",NA,NA
"RMSE Train","110.815",NA,NA
"RMSE Test","247.878",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.438",NA,NA
