"Vars","Estimate","stdError","p"
"Intercept","28.341",12.057,"0.02 *"
"drivingMinus9","-0.235",0.918,"0.798"
"walkingMinus9","0.388",0.507,"0.445"
"transitMinus9","-1.417",0.633,"0.026 *"
"drivingMinus10","1.314",0.887,"0.14"
"walkingMinus10","-0.694",0.52,"0.184"
"transitMinus10","0.912",0.619,"0.142"
"anomalousWeekend","0.986",44.021,"0.982"
"longWeekend","-0.767",23.402,"0.974"
"weekend","-42.805",11.804,"<0.001 *"
"casesTminus1","0.655",0.064,"<0.001 *"
"casesTminus2","0.181",0.065,"0.006 *"
"R2 Adjusted Training","0.768",NA,NA
"R2 Test","0.046",NA,NA
"RMSE Train","77.8",NA,NA
"RMSE Test","538.01",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
