"Vars","Estimate","stdError","p"
"Intercept","3.827",14.575,"0.793"
"drivingMinus9","1.599",0.66,"0.016 *"
"walkingMinus9","-0.308",0.41,"0.453"
"transitMinus9","-0.973",0.807,"0.229"
"drivingMinus10","-1.794",0.694,"0.01 *"
"walkingMinus10","0.77",0.43,"0.075"
"transitMinus10","0.599",0.799,"0.454"
"anomalousWeekend","3.035",29.643,"0.919"
"longWeekend","-16.489",14.887,"0.269"
"weekend","-24.087",7.852,"0.002 *"
"casesTminus1","0.473",0.059,"<0.001 *"
"casesTminus2","0.416",0.06,"<0.001 *"
"R2 Adjusted Training","0.755",NA,NA
"R2 Test","0.748",NA,NA
"RMSE Train","51.237",NA,NA
"RMSE Test","125.304",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.184",NA,NA
