"Vars","Estimate","stdError","p"
"Intercept","-10.028",112.361,"0.929"
"drivingMinus9","5.476",9.046,"0.546"
"walkingMinus9","-5.919",3.829,"0.124"
"transitMinus9","11.608",12.253,"0.344"
"drivingMinus10","12.675",10.216,"0.216"
"walkingMinus10","-1.154",4.36,"0.792"
"transitMinus10","-22.647",12.15,"0.064"
"anomalousWeekend","-92.735",283.726,"0.744"
"longWeekend","-116.958",147.512,"0.429"
"weekend","98.313",81.168,"0.227"
"casesTminus1","0.344",0.063,"<0.001 *"
"casesTminus2","0.329",0.063,"<0.001 *"
"R2 Adjusted Training","0.624",NA,NA
"R2 Test","0.001",NA,NA
"RMSE Train","503.188",NA,NA
"RMSE Test","960.845",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.364",NA,NA
