"Vars","Estimate","stdError","p"
"Intercept","63.136",79.375,"0.427"
"drivingMinus9","-2.941",4.257,"0.49"
"walkingMinus9","2.195",2.637,"0.406"
"transitMinus9","0.618",9.189,"0.946"
"drivingMinus10","-4.448",4.369,"0.31"
"walkingMinus10","2.319",2.66,"0.384"
"transitMinus10","-3.933",8.87,"0.658"
"anomalousWeekend","-21.321",167.948,"0.899"
"longWeekend","-15.119",85.671,"0.86"
"weekend","-62.558",45.877,"0.174"
"casesTminus1","0.464",0.065,"<0.001 *"
"casesTminus2","0.159",0.066,"0.017 *"
"R2 Adjusted Training","0.669",NA,NA
"R2 Test","0.52",NA,NA
"RMSE Train","295.446",NA,NA
"RMSE Test","431.445",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.339",NA,NA
