"Vars","Estimate","stdError","p"
"Intercept","19.906",17.508,"0.257"
"drivingMinus9","-2.052",1.597,"0.2"
"walkingMinus9","0.897",0.936,"0.339"
"transitMinus9","0.366",0.884,"0.68"
"drivingMinus10","3.58",1.736,"0.04 *"
"walkingMinus10","-1.055",1.027,"0.306"
"transitMinus10","-1.69",0.883,"0.057"
"anomalousWeekend","-18.998",52.779,"0.719"
"longWeekend","-2.244",27.829,"0.936"
"weekend","-43.385",15.631,"0.006 *"
"casesTminus1","0.337",0.058,"<0.001 *"
"casesTminus2","0.408",0.058,"<0.001 *"
"R2 Adjusted Training","0.689",NA,NA
"R2 Test","0.003",NA,NA
"RMSE Train","96.366",NA,NA
"RMSE Test","253.334",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.593",NA,NA
