"Vars","Estimate","stdError","p"
"Intercept","9.986",6.281,"0.113"
"drivingMinus9","-0.25",0.315,"0.428"
"walkingMinus9","0.352",0.264,"0.182"
"transitMinus9","-0.282",0.663,"0.671"
"drivingMinus10","-0.119",0.311,"0.702"
"walkingMinus10","-0.126",0.274,"0.647"
"transitMinus10","0.084",0.66,"0.899"
"anomalousWeekend","-2.999",14.713,"0.839"
"longWeekend","4.485",6.766,"0.508"
"weekend","-12.443",3.955,"0.002 *"
"casesTminus1","-0.07",0.02,"0.001 *"
"casesTminus2","0.906",0.02,"<0.001 *"
"R2 Adjusted Training","0.934",NA,NA
"R2 Test","0.835",NA,NA
"RMSE Train","36.785",NA,NA
"RMSE Test","61.712",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","Inf",NA,NA
