"Vars","Estimate","stdError","p"
"Intercept","117.597",107.689,"0.276"
"drivingMinus9","1.38",5.92,"0.816"
"walkingMinus9","2.453",3.503,"0.485"
"transitMinus9","-8.914",9.797,"0.364"
"drivingMinus10","-3.649",7.309,"0.618"
"walkingMinus10","-0.631",4.096,"0.878"
"transitMinus10","6.2",9.558,"0.517"
"anomalousWeekend","38.215",254.103,"0.881"
"longWeekend","-7.197",130.198,"0.956"
"weekend","-293.327",67.988,"<0.001 *"
"casesTminus1","0.437",0.067,"<0.001 *"
"casesTminus2","0.434",0.071,"<0.001 *"
"R2 Adjusted Training","0.733",NA,NA
"R2 Test","0.002",NA,NA
"RMSE Train","450.335",NA,NA
"RMSE Test","3025.58",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.311",NA,NA
