"Vars","Estimate","stdError","p"
"Intercept","-83.448",214.188,"0.697"
"drivingMinus9","17.648",14.738,"0.232"
"walkingMinus9","-4.383",8.835,"0.62"
"transitMinus9","-7.084",17.392,"0.684"
"drivingMinus10","20.692",17.493,"0.238"
"walkingMinus10","-8.143",9.482,"0.391"
"transitMinus10","-20.888",17.67,"0.238"
"anomalousWeekend","83.089",543.868,"0.879"
"longWeekend","-163.484",279.107,"0.559"
"weekend","-260.905",148.558,"0.08"
"casesTminus1","0.112",0.065,"0.087"
"casesTminus2","0.118",0.063,"0.063"
"R2 Adjusted Training","0.29",NA,NA
"R2 Test","0.157",NA,NA
"RMSE Train","959.505",NA,NA
"RMSE Test","593.719",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.75",NA,NA
