"Vars","Estimate","stdError","p"
"Intercept","135.107",150.119,"0.369"
"drivingMinus9","-10.663",9.945,"0.285"
"walkingMinus9","22.83",6.369,"<0.001 *"
"transitMinus9","-24.779",13.493,"0.068"
"drivingMinus10","8.447",12.564,"0.502"
"walkingMinus10","-12.75",6.958,"0.068"
"transitMinus10","16.411",13.458,"0.224"
"anomalousWeekend","12.258",408.422,"0.976"
"longWeekend","-22.837",211.208,"0.914"
"weekend","-290.511",112.382,"0.01 *"
"casesTminus1","0.149",0.064,"0.02 *"
"casesTminus2","0.161",0.061,"0.009 *"
"R2 Adjusted Training","0.309",NA,NA
"R2 Test","0.197",NA,NA
"RMSE Train","724.101",NA,NA
"RMSE Test","797.919",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.636",NA,NA
