"Vars","Estimate","stdError","p"
"Intercept","22.929",5.726,"<0.001 *"
"drivingMinus9","-0.457",0.417,"0.275"
"walkingMinus9","-0.18",0.337,"0.594"
"transitMinus9","1.148",0.653,"0.081"
"drivingMinus10","-0.297",0.407,"0.467"
"walkingMinus10","0.379",0.359,"0.294"
"transitMinus10","-1.188",0.665,"0.076"
"anomalousWeekend","13.09",12.014,"0.277"
"longWeekend","-4.548",11.296,"0.688"
"weekend","-17.397",3.717,"<0.001 *"
"casesTminus1","0.41",0.071,"<0.001 *"
"casesTminus2","0.296",0.07,"<0.001 *"
"R2 Adjusted Training","0.909",NA,NA
"R2 Test","0.583",NA,NA
"RMSE Train","20.847",NA,NA
"RMSE Test","29.909",NA,NA
"RMSPE Train","0.406",NA,NA
"RMSPE Test","0.404",NA,NA
