"Vars","Estimate","stdError","p"
"Intercept","41.458",39.018,"0.289"
"drivingMinus9","-7.683",2.742,"0.006 *"
"walkingMinus9","5.484",1.572,"0.001 *"
"transitMinus9","1.362",3.066,"0.657"
"drivingMinus10","4.677",3.045,"0.126"
"walkingMinus10","-2.382",1.847,"0.198"
"transitMinus10","-1.202",2.964,"0.686"
"anomalousWeekend","-20.081",94.265,"0.831"
"longWeekend","-15.022",49.071,"0.76"
"weekend","-19.149",25.34,"0.451"
"casesTminus1","0.568",0.062,"<0.001 *"
"casesTminus2","0.367",0.064,"<0.001 *"
"R2 Adjusted Training","0.82",NA,NA
"R2 Test","0.047",NA,NA
"RMSE Train","166.743",NA,NA
"RMSE Test","228.015",NA,NA
"RMSPE Train","Inf",NA,NA
"RMSPE Test","0.414",NA,NA
